UNIQUE ID,FIRST ,LAST,Time Spend on Quiz (mins),LEFT HANDED,POLYDACTYL,"NAMESPACE
COLOR","NUMBER OF
NAMESPACE
COLORS","Swallow
Speed","Fiction
Question",Children's Story,Invented Compiler,Matrix Math,SEMANTICS,TEAM SPORT,INDIV SPORT,INSTRUMENT,CLUBS,ANY GROUP ACTIVITY,AIR SHIELD COMBINATION,Life the Universe and Everything,COMPUTER,Favorite Cookie,Expected Grade,SLEEP AVG,SLEEP MODE,SLEEP MEDIAN,LOG2(1024),Night HW Due
1043,Gail,Forcewind,7,FALSE,FALSE,Blue,12,What do you mean? An African or European swallow?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,none,none,theater,0," five""",42,Deep Thought,Peanut butter,A,8-Jun,8-Jun,6,10,Thursday night
1068,Anna,Graham,14,FALSE,FALSE,Green,10,An African or European swallow?,Force,Pooh,Grace Murray Hopper,FALSE,The second hand,none,Cycling,none,stage crew,1,"1 2 3 4 5 The same combination
as my luggage!",42,Deep Thought,I can't eat cookies,I prefer not to answer.,6,6,6,10,Tuesday night
1083,Earl,Gray,21,FALSE,FALSE,Magenta,12,African or European?,May the force be with you.,Pooh,Grace Murray Hopper,TRUE,The second hand,none,none,Guitar,none,1," five""",42,Deep Thought,Macadamia nut,B,7,7,7,10,Tuesday night
1091,Anita,Hammer,18,FALSE,FALSE,Blue,12,11 meters per second,force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,Running,none,none,0,12345,42,deep thought after seven and a half million years of thought.,Oatmeal raisin,A,6,6,6,10,Sunday night
1197,Warren,Henderson,19,FALSE,FALSE,Gray,12,What do you mean? African or European swallow?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,skiing,Vocal chords (choir),Drama,0,1 2 3 4 5,42,deep thought,Peanut butter,I prefer not to answer.,8-Jul,7,7,10,Sunday night
1270,Manny,Kinn,7,FALSE,FALSE,Green,12,24 miles per hour,force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,none,none,Theater (Tech Crew),1,12345,42,deep thought,Peanut butter,B,7,7,7,10,Saturday night
1300,Lucy,Lastic,13,TRUE,FALSE,Blue,12,11 meters per second,force,pooh,Grace Murray Hopper,TRUE,The second hand,none,none,none,ITR&D,0,12345,42,deep thought,Chocolate chip,B,7,7,46,10,Friday night
1336,Greta,Life,21,FALSE,FALSE,Blue,9,African or European?,Force,pooh,Grace Murray Hopper,TRUE,The second hand,Cross Country,none,Bass Clarinet,jazz band,1,12345,42,deep thought,Oatmeal raisin,A,7.35,7,8,10,Tuesday night
1347,Maximus,Little,10,FALSE,FALSE,Gray,12,African or European?,force,poop,Grace Murray Hopper,TRUE,The second hand,none,none,trumpet,drama,0,12345,42,deep thought,Chocolate chip,B,8,8,8,10,Tuesday night
1392,Victor,Loser,5,FALSE,FALSE,Red,12,African or European?,force,pooh,Grace Murray Hopper,TRUE,The second hand,Cross Country,Cross Country,Piano,Jazz Band,1,12345,42,deep thought,Chocolate chip,A,8-Jun,6,6,10,Sunday night
1392,Otto,Matic,9,FALSE,FALSE,Blue,12,What do you mean? African or European swallow?,Force,Pooh,Grace Murray Hopper,FALSE,The second hand,none,none,Flute,none,1,12345,42,deep thought,Peanut butter,B,8,8,8,10,Sunday night
1410,Ira,Membrit,21,FALSE,FALSE,Red,12,What do you mean? African or European Swallow?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,Golf,Taekwondo,none,none,1,12345,42,deep thought,Chocolate chip,B,7.5,8,8,10,Thursday night
1439,Gia,Metric,16,FALSE,FALSE,Cyan,12,African or European?,Force,Pooh,Grace Murray Hopper,FALSE,The second hand,none,none,Violin,Creative Writing,1,12345,42,deep thought,Macadamia nut,B,7,6,6,10,Sunday night
1509,Sal,Monella,21,FALSE,FALSE,Yellow,12,African or European?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,Snowboarding,Bass Guitar,none,1,12345,42,deep thought,Sugar,B,8,7,7,10,Saturday night
1708,Chris,Moose,11,FALSE,FALSE,Black,10,11 m/s,force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,none,none,none,0,1-2-3-4-5,42,deep thought,Chocolate chip,B,7,6,6,10,Tuesday night
1139,Annie,Nonymous,18,TRUE,FALSE,Red,12,African or European?,Force,Poo,Grace Murray Hopper,TRUE,The second hand,none,Tennis,Piano,None,1,1 2 3 4 5,42,Deep Thought,Chocolate chip,B,8,8,8,10,Sunday night
1733,Holland,Oats,18,FALSE,FALSE,Blue,13,11 meters per second,Force,pooh,Grace Murray Hopper,FALSE,The second hand,Football,none,none,none,0,12345,42,Deep Thought,Chocolate chip,A,7.5,7.5,8,10,Sunday night
1783,Royal,Payne,25,FALSE,FALSE,Blue,12,11 meters per second,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,None,Martial Arts,None,None,0,12345,42,deep thought,Macadamia nut,A,7,7,7,10,Thursday night
1788,Jean,Poole,12,FALSE,FALSE,Cyan,12,African or European?,Force,Pooh,Grace Murray Hopper,FALSE,The second hand,None,Swimming,Singing,Robotics Team,1,12345,42,deep thought,Chocolate chip,B,8,6,7,10,Sunday night
1791,Will,Power,19,FALSE,FALSE,Cyan,12,11 meters per second,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,Swimming,Track,Saxophone,none,1,"5""",42,Deep Thought,Peanut butter,B,7,7,7,10,Thursday night
1798,Thea,Rhetical,9,FALSE,FALSE,Blue,12,11 meters per second,force,pooh,Grace Murray Hopper,TRUE,The second hand,track,track,trumpet,Key club,0,one two three four five,42,deep thought,Chocolate chip,I prefer not to answer.,8,8,8,10,Saturday night
1814,Dick,Shionary,10,FALSE,FALSE,Blue,12,11 meters per second,Force,Poo,Grace Murray Hopper,TRUE,The second hand,none,Golf,Sax,none,1,12345,42,google calculator,Sugar,C,7,7,7,10,Sunday night
5350,Mario,Speedwagon,14,FALSE,FALSE,Blue,11,"11 meters per second, roughly",force,pooh,Grace Murray Hopper,TRUE,The hour hand,None,None,None,Game club,0,"5""",42,deep thought,Chocolate chip,A,8,8,8,10,Thursday night
5930,Dick,Tator,17,TRUE,FALSE,Pink,12,24 miles an hour,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,tennis,saxophone,science club,1,12345,42,deep thought,Macadamia nut,A,6.8,6.8,6,10,Thursday night
6170,Grace,Taylor,30,FALSE,FALSE,Green,13,African or European?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,Baseball,none,Choir,Mock Trial,1,12345,42,deep thought,Macadamia nut,A,7,6,8,10,Tuesday night
6310,Brooke,Trout,13,FALSE,FALSE,Blue,12,What do you mean? An African or European swallow?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,Tennis,none,none,1,12345,42,deep thought,Chocolate chip,B,7,7,7,10,Friday night
7570,Paige,Turner,10,FALSE,FALSE,Red,12,11 m/s,force,pooh,Grace Murray Hopper,FALSE,The second hand,basketball,None,Violin,Art Club,1,12345,42,deep thought,Peanut butter,B,5,5,5,10,Tuesday night
9140,Sue,Vaneer,22,FALSE,FALSE,Orange,12,31-40 mph,Force,Pooh (Winney is spelled Winnie though),Grace Murray Hopper,TRUE,The hour hand,ice hockey,track,none,none,0,"5""",something that we cannot comprehend,deep thought,Chocolate chip,I prefer not to answer.,7,6,6.5,10,Saturday night
9840,Luke,Warm,17,FALSE,FALSE,Green,12,I don't know that!!,force,Pooh,Grace Murray Hopper,TRUE,The second hand,tennis,tennis,Voice,Oracle,1,12345,42,Deep Thought,Chocolate chip,C,6,"6  on weekdays, 10 on weekends",6,10,Saturday night
